"Name","Pin","Function","Power, Clock, Debug, System","CANFD","AGT","SCI","SPI","GPT","GPT_OPS","ICU","BUS_ASYNCH","QSPI","USB_FS","SDHI","ETHERC_RMII","CAC","SSI","CTSU","RTC","IIC","ADC","OSPI","USB_HS","CEC","SSI_COMMON","GPT_POEG","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"AVCC0","N8","ANALOG0_AVCC0","AVCC0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVCCUSBHS","H13","USB_HS0_AVCC_USBHS","AVCC_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVSS0","N9","ANALOG0_AVSS0","AVSS0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVSSUSBHS","G14","USB_HS0_AVSS_USBHS","AVSS_USBHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"P000","R12","ICU0_IRQ06","","","","","","","","IRQ06","","","","","","","","","","","AN000/AN100","","","","","","","","","IRQ06","IRQ mode","","None","ADC0: AN000
ADC1: AN100
ICU0: IRQ06","","IO","","",
"P001","N11","","","","","","","","","IRQ07","","","","","","","","","","","AN001/AN101","","","","","","","","","","Disabled","","","ADC0: AN001
ADC1: AN101
ICU0: IRQ07","","None","","",
"P002","R11","","","","","","","","","IRQ08","","","","","","","","","","","AN002/AN102","","","","","","","","","","Disabled","","","ADC0: AN002
ADC1: AN102
ICU0: IRQ08","","None","","",
"P003","M5","","","","","","","","","","","","","","","","","","","","AN003","","","","","","","","","","Disabled","","","ADC0: AN003","","None","","",
"P004","P11","","","","","","","","","IRQ09","","","","","","","","","","","AN004","","","","","","","","","","Disabled","","","ADC0: AN004
ICU0: IRQ09","","None","","",
"P005","R10","","","","","","","","","IRQ10","","","","","","","","","","","AN005","","","","","","","","","","Disabled","","","ADC0: AN005
ICU0: IRQ10","","None","","",
